District District,Constituency #,Constituency Name,Winner Candidate,Winner Party,Winner Party.1,Winner Votes,Winner %,Runner-up Candidate,Runner-up Party,Runner-up Party.1,Runner-up Votes,Runner-up %,Margin Margin
Pratapgarh,250,Raniganj,Dhiraj Ojha,,BJP,67031,38.1,Shakeel Ahmad Khan,,BSP,58022,32.98,9009
Kaushambi,251,Sirathu,Sheetla Prasad,,BJP,78621,40.45,Vachaspati,,SP,52418,26.97,26203
Kaushambi,252,Manjhanpur (SC),Lal Bahadur,,BJP,92818,42.25,Indrajeet Saroj,,BSP,88658,40.36,4160
Kaushambi,253,Chail,Sanjay Kumar,,BJP,85713,42.43,Talat Azim,,INC,45597,22.57,40116
Prayagraj,254,Phaphamau,Vikramjeet,,BJP,83239,41.07,Ansar Ahmad,,SP,57254,28.25,25985
Prayagraj,255,Soraon (SC),Jamuna Prasad,,AD(S),77814,37.02,Geeta Devi,,BSP,60079,28.58,17735
Prayagraj,256,Phulpur,Praveen Patel,,BJP,93912,42.24,Mansoor Alam,,SP,67299,30.27,26613
Prayagraj,257,Pratappur,Mohd Mujtaba Siddqui,,BSP,66805,32.63,Karan Singh,,AD(S),64151,31.33,2654
Prayagraj,258,Handia,Hakim Lal Bind,,BSP,72446,36.28,Pramila Devi,,AD(S),63920,32.01,8526
Prayagraj,259,Meja,Neelam Karwariya,,BJP,67807,37.94,Ram Sewak Singh,,SP,47964,26.84,19843
Prayagraj,260,Karachhana,Ujjwal Raman Singh,,SP,80806,41.14,Piyush Ranjan Nishad,,BJP,65782,33.49,15024
Prayagraj,261,Allahabad West,Sidharth Nath Singh,,BJP,85518,43.4,Richa Singh,,SP,60182,30.54,25336
Prayagraj,262,Allahabad North,Harshvardhan Bajpai,,BJP,89191,51.68,Anugrah Narayan Singh,,INC,54166,31.39,35025
Prayagraj,263,Allahabad South,Nand Gopal Gupta Nandi,,BJP,93011,52.73,Parvez Ahmad,,SP,64424,36.52,28587
Prayagraj,264,Bara (SC),Ajai Kumar,,BJP,79209,42.21,Ajay,,SP,45156,24.06,34053
Prayagraj,265,Koraon (SC),Rajmani Kol,,BJP,100427,52.03,Ram Kripal,,INC,46731,24.21,53696
Barabanki,266,Kursi,Sakendra Pratap Verma,,BJP,108403,41.49,Fareed Kidwai,,SP,79724,30.51,28679
Barabanki,267,Ramnagar,Sharad Kumar Awasthi,,BJP,88937,40.25,Arvinda Kumar Singh,,SP,66210,29.96,22727
Barabanki,268,Barabanki,Dharamraj Singh Yadav,,SP,99453,40.81,Suredra Singh,,BSP,69748,28.62,29704
Barabanki,269,Zaidpur (SC),Upendra Singh,,BJP,111064,43.84,Tanuj Punia,,INC,81883,32.32,29181
Barabanki,270,Dariyabad,Satishchandra Sharma,,BJP,119173,47.37,Rajiv Kumar Singh,,SP,68487,27.23,50686
Ayodhya,271,Rudauli,Ram Chandra Yadav,,BJP,90311,43.42,Abbas Ali Zaidi,,SP,59052,28.39,31259
Barabanki,272,Haidergarh (SC),Baidnath Rawat,,BJP,97497,46.41,Ram Magan,,SP,63977,30.45,33520
Ayodhya,273,Milkipur (SC),Gorakh Nath,,BJP,86960,44.11,Awadesh Prasad,,SP,58684,29.77,28276
Ayodhya,274,Bikapur,Shobha Singh Chauhan,,BJP,94074,42.63,Anand Sen,,SP,67422,30.55,26652
Ayodhya,275,Ayodhya,Ved Prakash Gupta,,BJP,107014,49.56,Tej Narayan Pandey,,SP,56574,26.2,50440
Ayodhya,276,Goshainganj,Indra Pratap Tiwari,,BJP,89586,39.91,Abhay Singh,,SP,77966,34.73,11620
Ambedkar Nagar,277,Katehari,Lal Ji verma,,BSP,84358,36.33,Awadesh Kumar Diwedi,,BJP,78071,33.63,6287
Ambedkar Nagar,278,Tanda,Sanju Devi,,BJP,74768,36.62,Azeemul Haq Pahalwan,,BSP,73043,35.78,1723
Ambedkar Nagar,279,Alapur (SC),Anita,,BJP,72366,36.95,Sangeeta,,SP,59853,30.56,12513
Ambedkar Nagar,280,Jalalpur,Ritesh Pandey,,BSP,90309,37.75,Rajesh Singh,,BJP,77279,32.3,13030
Ambedkar Nagar,281,Akbarpur,Ram Achal Rajbhar,,BSP,72325,35.7,Ram Murti Verma,,SP,58312,28.78,14013
Bahraich,282,Balha (SC),Akshaibar Lal,,BJP,104135,52.33,Kiran Bharti,,BSP,57519,28.91,46616
Bahraich,283,Nanpara,Madhuri Verma,,BJP,86312,45.45,Waris Ali,,INC,67643,35.62,18669
Bahraich,284,Matera,Yasar Shah,,SP,79188,39.99,Arun Veer Singh,,BJP,77593,39.19,1595
Bahraich,285,Mahasi,Sureshwar Singh,,BJP,104654,53.96,Ali Akbar,,INC,45685,23.56,58969
Bahraich,286,Bahraich,Anupma Jaiswal,,BJP,87479,41.5,Rubab Sayeda,,SP,80777,38.32,6702
Bahraich,287,Payagpur,Subhash Tripathi,,BJP,102254,50.29,Mukesh Srivastava,,SP,60713,29.86,41541
Bahraich,288,Kaiserganj,Mukut Bihari,,BJP,85212,41.32,Khalid Khan,,BSP,57849,28.05,27363
Shrawasti,289,Bhinga,Mohammad Aslam,,BSP,76040,34.43,Alekshendra Kant Singh,,BJP,69950,31.67,6090
Shrawasti,290,Shrawasti,Ram Feran,,BJP,79437,33.46,Mohd Ramzan,,SP,78992,33.27,445
Balrampur,291,Tulsipur,Kailash Nath Shukla,,BJP,62296,31.94,Zeba Rizwan,,INC,43637,22.38,18659
Balrampur,292,Gainsari,Shailesh Kumar Singh,,BJP,55716,28.69,Alauddin,,BSP,53413,27.51,2303
Balrampur,293,Utraula,Shashikant Verma,,BJP,85240,43.37,Arif Anwar Hashmi,,SP,56066,28.53,29174
Balrampur,294,Balrampur (SC),Palturam,,BJP,89401,47.08,Shivlal,,INC,64541,33.99,24860
Gonda,295,Mehnaun,Vinay Kumar Dwivedi,,BJP,84304,41.13,Arshad Ali Khan,,BSP,47926,23.38,36378
Gonda,296,Gonda,Prateek Bhushan Singh,,BJP,58254,30.35,Mo Jaleel Khan,,BSP,46576,24.26,11678
Gonda,297,Katra Bazar,Bawan Singh,,BJP,92095,42.14,Baij Nath,,SP,61284,28.04,30811
Gonda,298,Colonelganj,Ajay Pratap Singh,,BJP,82867,46.11,Yogesh Pratap Singh,,SP,54462,30.3,28405
Gonda,299,Tarabganj,Prem Narayan Pandey,,BJP,100294,50.18,Vinod Kumar,,SP,61852,30.94,38442
Gonda,300,Mankapur (SC),Rampati Shastri,,BJP,102862,58.2,Ramesh Chandra,,BSP,42701,24.16,60161
Gonda,301,Gaura,Prabhat Kumar Verma,,BJP,72455,42.14,Ram Pratap Singh,,SP,42600,24.78,29855
Siddharthnagar,302,Shohratgarh,Amar Singh Chaudhary,,AD(S),67653,36.53,Mohd Jameel,,BSP,45529,24.58,22124
Siddharthnagar,303,Kapilvastu (SC),Shyam Dhani,,BJP,114082,49.07,Vijay Kumar,,SP,75928,32.66,38154
Siddharthnagar,304,Bansi,Jai Pratap Singh,,BJP,77548,42.41,Lal Ji,,SP,58606,32.05,18942
Siddharthnagar,305,Itwa,Satish Chandra Dwivedi,,BJP,59524,37.39,Arshad Khursheed,,BSP,49316,30.98,10208
Siddharthnagar,306,Domariyaganj,Raghvendra Pratap Singh,,BJP,67227,33.62,Saiyada Khatoon,,BSP,67056,33.53,171
Basti,307,Harraiya,Ajay Kumar Singh,,BJP,97014,45.68,Raj Kishore Singh,,SP,66908,31.51,30106
Basti,308,Kaptanganj,Chandra Prakash,,BJP,70527,35.4,Ram Prasad Chaudhary,,BSP,63700,31.97,6827
Basti,309,Rudhauli,Sanjay Pratap Jaiswal,,BJP,90228,40.94,Rajendra Prasad Chaudhary,,BSP,68423,31.05,21805
Basti,310,Basti Sadar,Dayaram Chaudhary,,BJP,92697,45.13,Mahendra Nath Yadav,,SP,50103,24.39,42594
Basti,311,Mahadewa (SC),Ravi Kumar Sonkar,,BJP,82429,41.82,Doodhram,,BSP,56545,28.69,25884
Sant Kabir Nagar,312,Menhdawal,Rakesh Singh Baghel,,BJP,86976,39.15,Anil Kumar Tripathi,,BSP,44062,19.83,42914
Sant Kabir Nagar,313,Khalilabad,Digvijay Narayan Chaubey,,BJP,72061,32.29,Mashhoor Alam Choudhary,,BSP,56024,25.1,16037
