Constituency number,Constituency name,Reserved for (SC/STNone),Electors [6],District[7],Lok Sabha constituency
370.0,Mariyahu,,337483.0,Jaunpur,Machhlishahr
371.0,Zafrabad,,398511.0,Jaunpur,Machhlishahr
372.0,Kerakat,SC,416720.0,Jaunpur,Machhlishahr
373.0,Jakhanian,SC,432337.0,Ghazipur,Ghazipur
374.0,Saidpur,SC,400659.0,Ghazipur,Ghazipur
375.0,Ghazipur Sadar,,365238.0,Ghazipur,Ghazipur
376.0,Jangipur,,376819.0,Ghazipur,Ghazipur
377.0,Zahoorabad,,407091.0,Ghazipur,Ballia
378.0,Mohammadabad,,424837.0,Ghazipur,Ballia
379.0,Zamania,,425978.0,Ghazipur,Ghazipur
380.0,Mughalsarai,,400830.0,Chandauli,Chandauli
381.0,Sakaldiha,,335828.0,Chandauli,Chandauli
382.0,Saiyadraja,,333280.0,Chandauli,Chandauli
383.0,Chakia,SC,378414.0,Chandauli,Robertsganj
384.0,Pindra,,373472.0,Varanasi,Machhlishahr
385.0,Ajagara,SC,374068.0,Varanasi,Chandauli
386.0,Shivpur,,374563.0,Varanasi,Chandauli
387.0,Rohaniya,,408653.0,Varanasi,Varanasi
388.0,Varanasi North,,427134.0,Varanasi,Varanasi
389.0,Varanasi South,,323551.0,Varanasi,Varanasi
390.0,Varanasi Cantt.,,459277.0,Varanasi,Varanasi
391.0,Sevapuri,,346090.0,Varanasi,Varanasi
392.0,Bhadohi,,429201.0,Bhadohi,Bhadohi
393.0,Gyanpur,,390971.0,Bhadohi,Bhadohi
394.0,Aurai,SC,377692.0,Bhadohi,Bhadohi
395.0,Chhanbey,SC,374291.0,Mirzapur,Mirzapur
396.0,Mirzapur,,403374.0,Mirzapur,Mirzapur
397.0,Majhawan,,397877.0,Mirzapur,Mirzapur
398.0,Chunar,,354274.0,Mirzapur,Mirzapur
399.0,Marihan,,366489.0,Mirzapur,Mirzapur
400.0,Ghorawal,,394231.0,Sonbhadra,Robertsganj
401.0,Robertsganj,,343485.0,Sonbhadra,Robertsganj
402.0,Obra,ST,327556.0,Sonbhadra,Robertsganj
403.0,Duddhi,SC,332033.0,Sonbhadra,Robertsganj
,,,,,
