District,Constituency,Constituency,Turnout,Winner,Winner,Winner,Winner,Winner,Runner-up,Runner-up,Runner-up,Runner-up,Runner-up,Margin
District,#,Name,%,Candidate,Party,Party.1,Votes,%,Candidate,Party,Party.1,Votes,%,Margin
Ballia,357.0,Belthara Road (SC),55.72,Hansu Ram,,SBSP,78995.0,39.57,Chhattu Ram,,BJP,73481.0,36.81,5514.0
Ballia,358.0,Rasara,56.28,Umashankar Singh,,BSP,87887.0,43.82,Mahendra,,SBSP,81304.0,40.54,6583.0
Ballia,359.0,Sikanderpur,57.3,Mohammed Ziauddin Rizvi,,SP,75446.0,42.75,Sanjay Yadav,,BJP,63591.0,36.03,11855.0
Ballia,360.0,Phephana,57.27,Sangram Singh,,SP,92516.0,48.78,Upendra Tiwari,,BJP,73162.0,38.57,19354.0
Ballia,361.0,Ballia Nagar,54.04,Daya Shankar Singh,,BJP,103873.0,51.22,Narad Rai,,SP,77634.0,38.28,26239.0
Ballia,362.0,Bansdih,53.08,Ketakee Singh,,BJP,103305.0,47.67,Ram Govind Chaudhary,,SP,81953.0,37.82,21352.0
Ballia,363.0,Bairia,48.11,Jai Prakash Anchal,,SP,71241.0,40.33,Anand Swarup Shukla,,BJP,58290.0,33.0,12951.0
,,,,,,,,,,,,,,
Jaunpur,364.0,Badlapur,59.03,Ramesh Chandra Mishra,,BJP,82391.0,39.72,Baba Dubey,,SP,81065.0,39.08,1326.0
Jaunpur,365.0,Shahganj,59.13,Ramesh Singh,,NISHAD,87233.0,36.21,Shailendra Yadav Lalai,,SP,86514.0,35.91,719.0
Jaunpur,366.0,Jaunpur,57.03,Girish Chandra Yadav,,BJP,97760.0,39.35,Mohd. Arshad Khan,,SP,89708.0,36.11,8052.0
Jaunpur,367.0,Malhani,60.28,Lucky Yadav,,SP,97357.0,42.57,Dhananjay Singh,,JD(U),79830.0,34.91,17527.0
Jaunpur,368.0,Mungra Badshahpur,56.85,Pankaj Patel,,SP,92048.0,41.9,Ajay Dubey,,BJP,86818.0,39.52,5230.0
Jaunpur,369.0,Machhlishahr (SC),54.3,Ragini Sonkar,,SP,91659.0,41.99,Mihilal Gautam,,BJP,83175.0,38.1,8484.0
Jaunpur,370.0,Mariyahu,57.38,R.K. Patel,,AD(S),76007.0,39.25,Sushma Patel,,SP,74801.0,38.62,1206.0
Jaunpur,371.0,Zafrabad,56.05,Jagdish Narayan,,SBSP,90620.0,40.57,Harendra Prasad Singh,,BJP,84328.0,37.76,6292.0
Jaunpur,372.0,Kerakat (SC),57.65,Tufani Saroj,,SP,94022.0,39.13,Dinesh Choudhary,,BJP,84178.0,35.04,9844.0
Ghazipur,373.0,Jakhanian (SC),58.89,Triveni Ram,,SBSP,113378.0,44.53,Ramraj Vanvasi,,BJP,76513.0,30.05,36865.0
Ghazipur,374.0,Saidpur (SC),59.06,Ankit Bharti,,SP,109711.0,46.36,Subhash Passi,,BJP,73076.0,30.88,36635.0
Ghazipur,375.0,Ghazipur Sadar,62.04,Jai Kishan Sahu,,SP,92472.0,40.81,Sangeeta Balwant Bind,,BJP,90780.0,40.06,1692.0
Ghazipur,376.0,Jangipur,61.16,Virendra Kumar Yadav,,SP,103125.0,44.75,Ramnaresh Kushwah,,BJP,68062.0,29.53,35063.0
Ghazipur,377.0,Zahoorabad,60.74,Om Prakash Rajbhar,,SBSP,114860.0,46.45,Kalicharan Rajbhar,,BJP,69228.0,21.49,45632.0
Ghazipur,378.0,Mohammadabad,57.95,Suhaib Ansari,,SP,111443.0,45.26,Alka Rai,,BJP,92684.0,37.64,18759.0
Ghazipur,379.0,Zamania,54.79,Omprakash Singh,,SP,94695.0,40.57,Sunita Singh,,BJP,72239.0,30.95,22456.0
Chandauli,380.0,Mughalsarai,60.14,Ramesh Jaiswal,,BJP,102216.0,42.4,Chandra Shekhar Yadav,,SP,87295.0,36.21,14921.0
Chandauli,381.0,Sakaldiha,63.16,Prabhunarayan Yadav,,SP,86328.0,40.7,Suryamuni Tiwari,,BJP,69667.0,32.84,16661.0
Chandauli,382.0,Saiyadraja,63.02,Sushil Singh,,BJP,87891.0,41.85,Manoj Kumar,,SP,76974.0,36.65,10917.0
Chandauli,383.0,Chakia (SC),65.22,Kailash Kharwar,,BJP,97812.0,39.63,Jitendra Kumar,,SP,88561.0,35.88,9251.0
Varanasi,384.0,Pindra,59.05,Awadhesh Kumar Singh,,BJP,84325.0,38.23,Babu Lal,,BSP,48766.0,22.11,35559.0
Varanasi,385.0,Ajagara (SC),65.52,Tribhuwan Ram,,BJP,101088.0,41.25,Sunil Sonkar,,SBSP,91928.0,37.51,9160.0
Varanasi,386.0,Shivpur,67.22,Anil Rajbhar,,BJP,115231.0,45.76,Arvind Rajbhar,,SBSP,87544.0,34.77,27687.0
Varanasi,387.0,Rohaniya,60.39,Dr. Sunil Patel,,AD(S),118663.0,48.08,Abhay Patel,,AD(K),72191.0,29.25,46472.0
Varanasi,388.0,Varanasi North,57.65,Ravindra Jaiswal,,BJP,134471.0,54.61,Ashfaque,,SP,93695.0,38.05,40776.0
Varanasi,389.0,Varanasi South,60.51,Neelkanth Tiwari,,BJP,99622.0,50.88,Kameshwar (Kishan Dixit),,SP,88900.0,45.41,10722.0
Varanasi,390.0,Varanasi Cantt.,53.89,Saurabh Srivastava,,BJP,147833.0,60.63,Pooja Yadav,,SP,60989.0,25.01,86844.0
Varanasi,391.0,Sevapuri,63.83,Neel Ratan Singh Patel,,BJP,105163.0,47.6,Surendra Singh Patel,,SP,82632.0,37.41,22531.0
Bhadohi,392.0,Bhadohi,58.33,Zahid Beg,,SP,100738.0,40.24,Ravindra Tripathi,,BJP,95853.0,38.29,4885.0
Bhadohi,393.0,Gyanpur,55.66,Vipul Dubey,,NISHAD,73446.0,34.12,Ram Kishore Bind,,SP,67215.0,31.23,6231.0
Bhadohi,394.0,Aurai (SC),59.5,Dinanath Bhashkar,,BJP,93691.0,41.69,Smt. Anjani,,SP,92044.0,40.95,1647.0
Mirzapur,395.0,Chhanbey (SC),57.91,Rahul Prakash Kol,,AD(S),102502.0,47.29,Kirti,,SP,64389.0,29.71,38113.0
Mirzapur,396.0,Mirzapur,56.46,Ratnakar Mishra,,BJP,118642.0,52.09,Kailash Chaurasia,,SP,78766.0,34.58,39876.0
Mirzapur,397.0,Majhawan,61.68,Dr. Vinod Kumar Bind,,NISHAD,103235.0,42.07,Rohit Shukla,,SP,69648.0,28.38,33587.0
Mirzapur,398.0,Chunar,62.33,Anurag Singh,,BJP,110980.0,50.26,Ramashankar Prasad Singh,,AD(K),63366.0,28.7,47614.0
Mirzapur,399.0,Marihan,64.59,Rama Shankar Singh,,BJP,105377.0,44.51,Narendra Singh Kushwaha,,BSP,42466.0,17.94,62911.0
Sonbhadra,400.0,Ghorawal,63.5,Anil Kumar Maurya,,BJP,101277.0,40.46,Ramesh Chandra Dubey,,SP,77355.0,30.9,23922.0
Sonbhadra,401.0,Robertsganj,61.06,Bhupesh Chaubey,,BJP,84496.0,40.29,Avinash Kushwaha,,SP,78875.0,37.61,5621.0
Sonbhadra,402.0,Obra (ST),49.8,Sanjeev Kumar Gond,,BJP,78364.0,48.04,Arvind Kumar,,SP,51922.0,31.83,26442.0
Sonbhadra,403.0,Duddhi (ST),61.58,Ramdular Gaur,,BJP,84407.0,41.28,Vijay Singh Gour,,SP,78110.0,38.2,6297.0
